emoji	keywords
🏃‍➡️	facing, fast, hurry, marathon, move, person, quick, race, racing, right, run, running, rush, speed
🏄️	beach, ocean, person, sport, surf, surfer, surfing, swell, wave, waves, அலை, ஆண், கடல், சர்ஃபர், சர்ஃபிங், சர்பிங், செய்பவர், நபர், நீர், விளையாட்டு
🏄‍♀️	beach, ocean, person, sport, surf, surfer, surfing, swell, wave, waves, woman, அலை, அலைச்சறுக்கு, கடல், சர்ஃபர், சர்ஃபிங், நபர், பெண், விளையாடும், விளையாட்டு
🏄‍♂️	beach, man, ocean, sport, surf, surfer, surfing, swell, wave, waves, அலைச்சறுக்கு, ஆண், சர்ஃபிங், விளையாடும், விளையாட்டு
🏅	award, gold, medal, sport, sports, winner, தங்க, தங்கப்பதக்கம், பதக்கம், மெடல், விருது, விளையாட்டுப், வெற்றியாளர்
🏆️	champ, champion, champs, prize, slay, sport, trophy, victory, win, winning, கோப்பை, சாம்பியன், டிராபி, டிரோபி, பரிசு, வெற்றி, வெற்றிக்
🏇	horse, jockey, racehorse, racing, riding, sport, குதிரை, குதிரைப், குதிரைப்பந்தயம், சூதாட்டம், ஜாக்கி, நபர், பந்தயம், பந்தையம், ரேஸ்குதிரை, விளையாட்டு
🏈	american, ball, bowl, football, sport, super, அமெரிக்க, கால்பந்து, சூப்பர், பந்து, பவுல், விளையாட்டு
🏉	ball, football, rugby, sport, கால்பந்து, ரக்பி, விளையாட்டு
🏊️	freestyle, person, sport, swim, swimmer, swimming, triathlon, நபர், நீச்சல், நீந்துதல், நீந்துபவர், நீந்தும், விளையாட்டு, வீரர்
🏊‍♀️	freestyle, man, sport, swim, swimmer, swimming, triathlon, woman, குளம், குளியல், நபர், நீச்சல், நீந்துதல், நீந்தும், பெண், விளையாட்டு
🏊‍♂️	freestyle, man, sport, swim, swimmer, swimming, triathlon, ஆண், நீச்சல், நீந்தும், விளையாட்டு
🏋️‍♀️	barbell, bodybuilder, deadlift, lifter, lifting, powerlifting, weight, weightlifter, weights, woman, workout, எடை, தூக்குதல், நபர், பளுதூக்குதல், பளுதூக்கும், பெண், லிஃப்டிங், விளையாட்டு, வெயிட்
🏋️‍♂️	barbell, bodybuilder, deadlift, lifter, lifting, man, powerlifting, weight, weightlifter, weights, workout, ஆண், பளுதூக்குதல், பளுதூக்கும், விளையாட்டு
🏌️‍♀️	ball, birdie, caddy, driving, golf, golfing, green, pga, putt, range, tee, woman, கோல்ஃப், நபர், பந்து, பெண், மைதானம், விளையாடும், விளையாட்டு
🏌️‍♂️	ball, birdie, caddy, driving, golf, golfing, green, man, pga, putt, range, tee, ஆண், கோல்ஃப், விளையாடும், விளையாட்டு
🏏	ball, bat, cricket, game, கிரிக்கெட், பந்து, மட்டை, விளையாட்டு
🏐	ball, game, volleyball, கைப்பந்து, பந்து, பால், வாலிபால், விளையாட்டு
🏑	ball, field, game, hockey, stick, ஃபீல்டு, இந்திய, தன்ராஜ், தேசிய, பந்து, விளையாட்டு, ஹாக்கி
🏒	game, hockey, ice, puck, stick, மட்டை, விளையாட்டு, ஹாக்கி
🏓	ball, bat, game, paddle, ping, pingpong, pong, table, tenni, tennis, டென்னிஸ், டேபிள், பந்து, பாங்க், பிங்க், மேசைப்பந்தாட்டம், விளையாட்டு
🏠️	building, country, heart, home, house, ranch, settle, simple, suburban, suburbia, where, இல்லம், கட்டிடம், வீடு
🏡	building, country, garden, heart, home, house, ranch, settle, simple, suburban, suburbia, where, இருக்கும், கட்டிடம், தோட்டத்துடன், தோட்டம், வீடு, வீட்டுத்
🏢	building, city, cubical, job, office, அலுவலகக், அலுவலகம், ஆபிஸ், கட்டிடம்
🏣	building, japanese, office, post, அஞ்சல், அலுவலகம், ஆபிஸ், கட்டிடம், ஜப்பான், நாட்டின், போஸ்ட்
🏤	building, european, office, post, அஞ்சல், அலுவலகம், ஆபிஸ், கட்டிடம், தபால், போஸ்ட்
🏥	building, doctor, hospital, medicine, கட்டிடம், கிளினிக், மருத்துவமனை, மருத்துவர், ஹாஸ்பிட்டல்
🏦	bank, building, கட்டிடம், பேங்க், வங்கி
🏨	building, hotel, கட்டிடம், தங்குமிடம், விடுதி, ஹோட்டல்
🏩	building, hotel, love, கட்டிடம், லவ், ஹோட்டல்
🏪	24, building, convenience, hour, hours, store, கட்டிடம், சிறிய, சூப்பர், மளிகை, மளிகைக்கடை, மார்க்கெட், ஸ்டோர்
🏫	building, school, கட்டிடம், கல்விக்கூடம், சாலை, பள்ளி, பள்ளிக், பள்ளிக்கூடம், பாட
🏬	building, department, store, கட்டிடம், சூப்பர், டிமார்ட்மென்டல், பொருட்கள், மளிகை, மளிகைக்கடை, மார்க்கெட், ஸ்டோர்
🏭️	building, factory, ஆலை, கட்டிடம், தொழிற்சாலை, தொழிலகம்
🏮	bar, lantern, light, paper, red, restaurant, ஒளி, காகித, சிகப்பு, சிவப்பு, ஜப்பானிய, நிற, பார், பொருள், ரெஸ்டாரன்ட், விளக்கு
🏯	building, castle, japanese, அரண்மனை, கட்டிடம், கேஸில், கோட்டை, ஜப்பான், பாணி
🏰	building, castle, european, அரண்மனை, ஐரோப்பிய, கட்டிடம், கேஸில், கோட்டை, பாணி
🏸	badminton, birdie, game, racquet, shuttlecock, கேம், பூப்பந்தாட்டம், பூப்பந்து, பேட்மிண்டன், விளையாட்டு, ஷட்டில்காக்
